time,position,velocity,energy
361.5,96.7677,-20.1129,4884.26
362,74.8032,-64.1714,4856.74
362.5,34.5243,-92.5185,4875.8
363,-14.2074,-98.2139,4923.91
363.5,-59.4606,-79.8631,4956.84
364,-90.1558,-41.959,4944.31
364.5,-98.7777,6.21811,4897.85
365,-83.2153,52.8728,4860.16
365.5,-47.279,86.5824,4865.91
366,0.232877,99.0936,4909.8
366.5,47.6877,87.3433,4951.48
367,83.467,54.2082,4952.63
367.5,98.8106,7.80111,4912.2
368,89.9619,-40.516,4867.35
368.5,59.0875,-78.9133,4859.32
369,13.7463,-97.99,4895.5
369.5,-34.9604,-93.0752,4942.62
370,-75.1076,-65.3724,4957.36
